                           TxHash                                 TxIx        Amount
08ea2e51bf6705ae65001adbbedfccfd354902e48ecdfe2d4eb4defbbfbc6b34     0        4611700 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0917971ddf30c4b51d21d1745854fd0e2fa3591eb29287ff0ca64aa3deb5274a     0        8783780 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
0921cecb72942c9fe4ff802cc4273bedd67d8e1e63404d59484d0b3504e61eb1     0        4611700 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
092a6cdacd195918d272318dedcc5c3c898c7ba95fa53950ed233a2a6f7d9802     0        35191150 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0934d73ea9d501284031e40001b5048234267bc3011f564f0de1ea7ffdf6f46c     0        45479120 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
094180ca279d746136d6794e1abb06f115ecbbb31c2d056eea952f825f842999     0        1189560 lovelace + 1 64f77ae6d343cce6be278c3b38614f0955a9a0b1bf129669fd21e5a4.61757468 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataBytes "Hello world, Preview Network!")
0973030acf2e593dca1cffd38c452da4d7d421ad38af8e151645e8263ccc97ef     0        35191150 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
09796ce756dc671fdb89f4c8d64131ea280c87678baf2c0154252647811856de     0        4827200 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
09ade6355338d59b6dc52af7529c269d8fd4f940584472f3edaea23d8348af32     0        6262430 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
09b5c609b62cec251db775e329906cf7cc68864403ce8a52f00fb416856b9225     0        1202490 lovelace + 1 ec58c51a266f0d8667f1239538af5aad958c50196874493bd1e9ee65.61757468 + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataBytes "[1687490107057] Inbound Message!")
09d5fcc17dac2c998f676fca145757e7b4ea959b04d1529999face8933cc0f88     0        14447120 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
09e8426c0cc2d0030748288c79aca1a3fde017a0cb7feee3e596ea8799fe626b     0        8783780 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
09e9b709d5985c35eb10ba253f9a6a2f5807dd196b9992eb4c6837f840123a74     0        9688880 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
09ff8ee0b2c394e78de0089612ed0ba29c8d0e3e1845500647b2238adfceb1e7     0        32031920 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0a12f6caaa8b4651b773965f57d3634a80f7db6dbd1e68af5ac29c16b968328f     0        6279670 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
